answer,predictions,exact_match,precision,recall,f1_score
chest pain,[SEP],0,0.0,0.0,0.0
10 mg,,0,0.0,0.0,0.0
bid,,0,0.0,0.0,0.0
monitoring of his prothrombin times and his arrhythmias,,0,0.0,0.0,0.0
for two weeks.,pressure was [SEP],0,0.0,0.0,0.0
echocardiogram,"pressures, and right ventricular pressures at various points of patient & apos ; s cycle without any change in the effusion",0,0.0,0.0,0.0
your blood pressure.,,0,0.0,0.0,0.0
a rectal examination,,0,0.0,0.0,0.0
bid,,0,0.0,0.0,0.0
his sputum,gpc which later grew staph aureus. [SEP],0,0.0,0.0,0.0
a bowel regimen,,0,0.0,0.0,0.0
sputum culture,,0,0.0,0.0,0.0
his hyperkalemia,,0,0.0,0.0,0.0
his hyperkalemia,,0,0.0,0.0,0.0
right lower lobe infiltrate,,0,0.0,0.0,0.0
gliomatosis cerebri ( grade ii astrocytoma ),,0,0.0,0.0,0.0
colace,,0,0.0,0.0,0.0
an echocardiogram,##lated right ventricle secondary to chronic dysfunction and a pulmonary artery pressure of greater than 100. [SEP],0,0.0,0.0,0.0
prn,"##ma, cont'd albuterol inh prn [SEP]",0,1.0,0.16666666666666666,0.2857142857142857
qhs,005 ou qhs [SEP],0,1.0,0.25,0.4
an esophagogastroduodenoscopy,gastropathy without varices. [SEP],0,0.0,0.0,0.0
anxiety,,0,0.0,0.0,0.0
b.i.d.,d. 30 minutes prior [SEP],0,0.0,0.0,0.0
electrocardiogram,,0,0.0,0.0,0.0
tramadol,and tylenol for this pain. she could [SEP],0,0.0,0.0,0.0
some sedation,,0,0.0,0.0,0.0
this abdominal aortic aneurysm,,0,0.0,0.0,0.0
dulcolax ( bisacodyl ),,0,0.0,0.0,0.0
chest x-ray,,0,0.0,0.0,0.0
ativan ( lorazepam ),##pam ) 0. 5 - 1 mg iv q8h prn nausea [SEP],0,0.0,0.0,0.0
the electrocardiogram,,0,0.0,0.0,0.0
hypertension,"hypertension refractory to beta - blockade, calcium [SEP]",0,1.0,0.14285714285714285,0.25
40 mg,,0,0.0,0.0,0.0
a biopsy,,0,0.0,0.0,0.0
bid,,0,0.0,0.0,0.0
bactrim,,0,0.0,0.0,0.0
a anc,,0,0.0,0.0,0.0
preop w/,,0,0.0,0.0,0.0
15 milliliters,,0,0.0,0.0,0.0
urine tox,,0,0.0,0.0,0.0
ekg,,0,0.0,0.0,0.0
dyslipidemia,p phototx [SEP],0,0.0,0.0,0.0
spasticity,##gesia. [SEP],0,0.0,0.0,0.0
his injury,##essment of his injury and possible removal of the splint. [SEP],0,1.0,0.18181818181818182,0.3076923076923077
2,,0,0.0,0.0,0.0
6 more days,). [SEP],0,0.0,0.0,0.0
constipation,,0,0.0,0.0,0.0
urine lytes,indicating either pre - renal or hepatorenal. [SEP],0,0.0,0.0,0.0
hypertension,,0,0.0,0.0,0.0
a chest x-ray,. [SEP],0,0.0,0.0,0.0
the non-small-cell lung cancer,,0,0.0,0.0,0.0
cpk,,0,0.0,0.0,0.0
percocet,"times a day for 7 days, percocet 1 to 2 tablets [SEP]",0,1.0,0.08333333333333333,0.15384615384615385
temazepam,prn insomnia [SEP],0,0.0,0.0,0.0
porcine valve,,0,0.0,0.0,0.0
typical substernal chest pain,,0,0.0,0.0,0.0
in the evening,,0,0.0,0.0,0.0
glucophage,,0,0.0,0.0,0.0
flexeril,,0,0.0,0.0,0.0
cad,ef of 25 %. [SEP],0,0.0,0.0,0.0
possible early sepsis,,0,0.0,0.0,0.0
5 mg,,0,0.0,0.0,0.0
the rectal examination,,0,0.0,0.0,0.0
cardiac examination,,0,0.0,0.0,0.0
cefotetan,,0,0.0,0.0,0.0
once a day,,0,0.0,0.0,0.0
qd,,0,0.0,0.0,0.0
10 mg,"s., sublingual nitro",0,0.0,0.0,0.0
1 mg,,0,0.0,0.0,0.0
chest pain,releived with sl [SEP],0,0.0,0.0,0.0
" blood pressures at home, which range at about 126/81 to 142/92","##er and will find out soon whether he can quit his evening jobs and will be able to increase his exercise capacity such that he will be doing more walking with that job. he has no chest pain, shortness of breath, palpitations, presyncope, or syncope with ex",0,0.09090909090909091,0.02127659574468085,0.034482758620689655
the stress test,,0,0.0,0.0,0.0
exam,as described previously and tenderness to minimal palpation. [SEP],0,0.0,0.0,0.0
cellulitis.,,0,0.0,0.0,0.0
htn,above [SEP],0,0.0,0.0,0.0
caval narrowing,,0,0.0,0.0,0.0
lasix,,0,0.0,0.0,0.0
the heart sounds,,0,0.0,0.0,0.0
2094-08-11,,0,0.0,0.0,0.0
end-stage renal disease,,0,0.0,0.0,0.0
sbp,,0,0.0,0.0,0.0
ischemia,,0,0.0,0.0,0.0
urinalysis,"298, toxic screen negative, white blood cell count 11. 1, hematocrit 39. 6, platelet count",0,0.0,0.0,0.0
antibiotics,,0,0.0,0.0,0.0
chest pain,performed. [SEP],0,0.0,0.0,0.0
symptomatic bradycardia,,0,0.0,0.0,0.0
a1c was approximately 13,". as such, i recommended we obtain a persantine pet stress test for tomorrow morning. if this test is normal without any high risk features or without any evidence for obstructive coronary disease, it would be reasonable for him to proceed with surgery later on this week. this test will also suffice for his upcoming gastric laparoscopic bypass surgery, which is scheduled for 01 / 2074. with regards to his medication, his blood pressure still is not at goal below 130. as such, i have increased his toprol - xl from 125 mg to 200 mg p. o. daily. this medication should be continued through all surgery. additionally, if this is not sufficient in bringing his blood pressure down below 130, i would recommend the addition of a diuretic to his regimen either lasix 20 mg p. o. daily or hydrochlorothiazide 25 mg p. o. daily. additionally, it",0,0.0,0.0,0.0
her chest x-ray,to the intensive care unit for respiratory distress and febrile hypotension with a question of a new infiltrate on her chest x - ray. [SEP],0,0.6666666666666666,0.08333333333333333,0.14814814814814814
a head ct,,0,0.0,0.0,0.0
lgib history,,0,0.0,0.0,0.0
qd,,0,0.0,0.0,0.0
148/60 ,,0,0.0,0.0,0.0
on physical examination,,0,0.0,0.0,0.0
while in hospital,scales while in hospital and he [SEP],0,1.0,0.42857142857142855,0.6
neurological exam on admission,,0,0.0,0.0,0.0
zosyn,,0,0.0,0.0,0.0
docusate sodium,,0,0.0,0.0,0.0
a presumed community acquired pneumonia,,0,0.0,0.0,0.0
constipation,,0,0.0,0.0,0.0
qd,,0,0.0,0.0,0.0
1 tab,,0,0.0,0.0,0.0
the ultrasound,,0,0.0,0.0,0.0
a fever,,0,0.0,0.0,0.0
40 mg,,0,0.0,0.0,0.0
dilantin,##uro - on dilantin for history of partial seizures. [SEP],0,1.0,0.1111111111111111,0.19999999999999998
arthralgias,,0,0.0,0.0,0.0
opiates,"opiates in ed ). ekg no changes, [SEP]",0,1.0,0.14285714285714285,0.25
"ldl 187,","##dl 187, hdl 40 [SEP]",0,0.5,0.2,0.28571428571428575
daily,,0,0.0,0.0,0.0
0.125 mg,,0,0.0,0.0,0.0
amoxicillin,"po q d, tagamet 400 mg po q d, amoxicillin which was started on labor day, for a sore throat and ativan 1 mg po prn nausea / anxiety. [SEP]",0,1.0,0.034482758620689655,0.06666666666666667
anxiety,anxiety. she stopped taking [SEP],0,1.0,0.2,0.33333333333333337
a metastatic adenocarcinoma of the breast,##carcinoma of the breast who is status post high dose chemotherapy with pbse and ccss support ending june 1994. [SEP],0,0.5,0.15,0.23076923076923075
once a day.,,0,0.0,0.0,0.0
endoscopic retrograde cholangiopancreatography,,0,0.0,0.0,0.0
packed red blood cells,,0,0.0,0.0,0.0
an ovarian cyst,1988. [SEP],0,0.0,0.0,0.0
atrial fibrillation,,0,0.0,0.0,0.0
prophylaxis:,prophylaxis : he was given nexium and coumadin. [SEP],0,1.0,0.125,0.2222222222222222
insulin,dm on insulin [SEP],0,1.0,0.25,0.4
ef,,0,0.0,0.0,0.0
40 mg,,0,0.0,0.0,0.0
pain,,0,0.0,0.0,0.0
right hydronephrosis,,0,0.0,0.0,0.0
bp 146/80,,0,0.0,0.0,0.0
2094-12-24,,0,0.0,0.0,0.0
his cultures,,0,0.0,0.0,0.0
cxr,##lectasis vs. consolidation [SEP],0,0.0,0.0,0.0
placenta previa,st. jude valve and chronic coumadin therapy ; breast biopsy negative in 1984 ; appendectomy age 15 ; tonsillectomy and adenoidectomy age 6 ; hysterotomy age 30 ; c - section age 37 due to placenta previa. [SEP],0,1.0,0.0625,0.11764705882352941
chest x-ray,,0,0.0,0.0,0.0
a pa,,0,0.0,0.0,0.0
90 mg,,0,0.0,0.0,0.0
thallium images,,0,0.0,0.0,0.0
q6hr,prn ibuprofen. the day [SEP],0,0.0,0.0,0.0
obese,,0,0.0,0.0,0.0
pain,,0,0.0,0.0,0.0
10 units,,0,0.0,0.0,0.0
160/90,,0,0.0,0.0,0.0
enzymes,,0,0.0,0.0,0.0
a right upper quadrant ultrasound,. [SEP],0,0.0,0.0,0.0
tylenol,,0,0.0,0.0,0.0
tylenol (acetaminophen ),,0,0.0,0.0,0.0
x ray,,0,0.0,0.0,0.0
hit,,0,0.0,0.0,0.0
q4-6h prn,,0,0.0,0.0,0.0
the vascular exam,,0,0.0,0.0,0.0
60 mg,,0,0.0,0.0,0.0
clindamycin,,0,0.0,0.0,0.0
clindamycin,,0,0.0,0.0,0.0
tylenol,,0,0.0,0.0,0.0
qd,,0,0.0,0.0,0.0
increasing symptoms,"increasing symptoms overtime, not controlled by conservative management. [SEP]",0,1.0,0.2222222222222222,0.3636363636363636
htn,,0,0.0,0.0,0.0
hydralazine,,0,0.0,0.0,0.0
diabetic,"mask symptoms, as well as diabetic and dementia [SEP]",0,1.0,0.1111111111111111,0.19999999999999998
oxacillin resistant staphylococci,,0,0.0,0.0,0.0
tia,,0,0.0,0.0,0.0
transurethral resection of the prostate,,0,0.0,0.0,0.0
every other day.,,0,0.0,0.0,0.0
lung examination,,0,0.0,0.0,0.0
80 systolic,,0,0.0,0.0,0.0
prophylactic anticoagulation,,0,0.0,0.0,0.0
aspirin,,0,0.0,0.0,0.0
2000 mg,,0,0.0,0.0,0.0
325 mg,,0,0.0,0.0,0.0
ct,. [SEP],0,0.0,0.0,0.0
coronary ischemia,"with no evidence of ischemia, valvular regurgitation, or compromised ventricular function. [SEP]",0,0.5,0.08333333333333333,0.14285714285714285
hydralazine,"lasix, and lopressor. the day following [SEP]",0,0.0,0.0,0.0
clots,##lots on leni. [SEP],0,0.0,0.0,0.0
lasix,her lasix dose as she normally does based on her [SEP],0,1.0,0.09090909090909091,0.16666666666666669
144/76.,,0,0.0,0.0,0.0
chest x-ray,,0,0.0,0.0,0.0
flagyl,##ly for an elevated white count. at the rehab [SEP],0,0.0,0.0,0.0
while in-house.,,0,0.0,0.0,0.0
an abdominal and pelvic ct scan with iv contrast,ivc and distention of the azygous system suggestive of ivc obstruction by liver metastases ; ascites ; multiple bony metastases ; and an isolated splenic metastases. [SEP],0,0.2222222222222222,0.08333333333333333,0.12121212121212122
morphine,,0,0.0,0.0,0.0
for 2 more days,"##12 1000ug qd for 2 more days, the qmonth. [SEP]",0,1.0,0.4,0.5714285714285715
copd,copd exacerbation but he appeared in more respiratory distress overnight and was started on iv solu - medrol and more frequent nebulizers for copd. [SEP],0,1.0,0.041666666666666664,0.07999999999999999
20 mg,,0,0.0,0.0,0.0
recent echocardiography,,0,0.0,0.0,0.0
a hida scan,,0,0.0,0.0,0.0
hypotension,,0,0.0,0.0,0.0
a flutter with hr in the 110s,,0,0.0,0.0,0.0
 bp 140/77,,0,0.0,0.0,0.0
angiography,,0,0.0,0.0,0.0
160/90,,0,0.0,0.0,0.0
tid.,,0,0.0,0.0,0.0
maalox plus extra strength,,0,0.0,0.0,0.0
50 mg,,0,0.0,0.0,0.0
2151-09-12,- 09 - 12 september 12,0,0.0,0.0,0.0
physical examination,,0,0.0,0.0,0.0
diabetes:,,0,0.0,0.0,0.0
30 mg,,0,0.0,0.0,0.0
while an inpatient.,inpatient. he should be switched back to [SEP],0,0.3333333333333333,0.125,0.18181818181818182
anticoagulation,,0,0.0,0.0,0.0
an upper endoscopy study,,0,0.0,0.0,0.0
chest x-ray,,0,0.0,0.0,0.0
50 mg,,0,0.0,0.0,0.0
the rca occlusion,,0,0.0,0.0,0.0
2 tsp,,0,0.0,0.0,0.0
10 mg,,0,0.0,0.0,0.0
100 mg,colace 100 mg p. o. b. i. d. [SEP],0,1.0,0.2222222222222222,0.3636363636363636
bid,"25 mg po bid hold if : hr & lt ; 60, or sbp & lt ; 100 [SEP]",0,1.0,0.07142857142857142,0.13333333333333333
2102-05-19,,0,0.0,0.0,0.0
atherosclerotic coronary heart disease,,0,0.0,0.0,0.0
his total cholesterol was 294,,0,0.0,0.0,0.0
emergent repair,repair of the intratrochanteric fracture secondary to instability. [SEP],0,0.5,0.1111111111111111,0.1818181818181818
the bronchiolitis obliterans organizing pneumonia,##e for one month as above for the bronchiolitis obliterans organizing pneumonia with a very slow taper. [SEP],0,1.0,0.2777777777777778,0.4347826086956522
chronic lung disease,##nization should be considered annually in the fall for preterm infants with chronic lung disease once they reach six months of age. [SEP],0,1.0,0.13043478260869565,0.23076923076923078
blood cultures,,0,0.0,0.0,0.0
fluid,. [SEP],0,0.0,0.0,0.0
pain,,0,0.0,0.0,0.0
50 mg,,0,0.0,0.0,0.0
last a1c 13,,0,0.0,0.0,0.0
bid,##rilosec otc [SEP],0,0.0,0.0,0.0
bid,##nnosides ) 2 tab po bid [SEP],0,1.0,0.16666666666666666,0.2857142857142857
while two jackson-pratt drains were in,##eflex while two jackson - pratt drains were in. the [SEP],0,0.8333333333333334,0.5,0.625
a head ct scan,recent bleed and no change from a prior ct scan done on 2011 - 03 - 04. [SEP],0,0.75,0.1875,0.3
replacement scale,,0,0.0,0.0,0.0
q.d.,,0,0.0,0.0,0.0
telemetry,,0,0.0,0.0,0.0
influenza,,0,0.0,0.0,0.0
bid,,0,0.0,0.0,0.0
ruptured left renal vein,,0,0.0,0.0,0.0
heart exam,,0,0.0,0.0,0.0
obesity ,,0,0.0,0.0,0.0
infective endocarditis:active,,0,0.0,0.0,0.0
exam,,0,0.0,0.0,0.0
oxycodone,,0,0.0,0.0,0.0
14d,"' d feeling well, then progressive",0,0.0,0.0,0.0
last hemoglobin a1c was 6.5,"##ry artery disease and diabetes mellitus with unclear control. his last hemoglobin a1c was 6. 5 and that was in 10 / 94. status post cholecystectomy, status post appendectomy, esophageal cancer status post resection, and history of idiopathic thrombocytopenia. [SEP]",0,0.8,0.10256410256410256,0.18181818181818182
chest pain,,0,0.0,0.0,0.0
shortness of breath,,0,0.0,0.0,0.0
levofloxacin,,0,0.0,0.0,0.0
functional capacity,,0,0.0,0.0,0.0
mri head,,0,0.0,0.0,0.0
cad,,0,0.0,0.0,0.0
a head ct,,0,0.0,0.0,0.0
headaches,##s were,0,0.0,0.0,0.0
q d,,0,0.0,0.0,0.0
130/90,,0,0.0,0.0,0.0
his critical aortic stenosis,,0,0.0,0.0,0.0
during her hospital stay.,,0,0.0,0.0,0.0
cardiac catheterization,,0,0.0,0.0,0.0
chest pain,"q. d., nitroglycerin 0. 3 mg sublingually p. r. n. chest pain or pressure or shortness of breath, lisinopril hydrochlorothiazide 20 / 12. 5 mg q. d",0,1.0,0.07692307692307693,0.14285714285714288
q.d.,,0,0.0,0.0,0.0
chest x-ray,,0,0.0,0.0,0.0
the imaging,,0,0.0,0.0,0.0
consolidation,,0,0.0,0.0,0.0
100 mg,,0,0.0,0.0,0.0
htn:,,0,0.0,0.0,0.0
amiodarone,,0,0.0,0.0,0.0
ct abd,"hydronephrosis and inflammatory stranding, in addition to pyelonephritis of the left kidney without left sided hydronephrosis. [SEP]",0,0.0,0.0,0.0
an inability to void,on 5 / 9 / 05 the patient was seen by urology due to an inability to void and a 16 french coude catheter was placed. [SEP],0,1.0,0.16,0.2758620689655173
prednisone,,0,0.0,0.0,0.0
hemoglobin a1c over 12 in april of 2081,,0,0.0,0.0,0.0
comminuted proximal tibiofibular fractures,##if of the tibia with an intramedullary rod,0,0.0,0.0,0.0
his sugars,[SEP],0,0.0,0.0,0.0
a possible c. difficile infection.,[SEP],0,0.0,0.0,0.0
her electrocardiogram,,0,0.0,0.0,0.0
antibiotics,##cin and clindamycin. the patient was also [SEP],0,0.0,0.0,0.0
one tab,"o. daily, neph",0,0.0,0.0,0.0
4,"hospital, carvedilol [SEP]",0,0.0,0.0,0.0
hypercholesterolemia,,0,0.0,0.0,0.0
120 mg,,0,0.0,0.0,0.0
325 mg,[SEP],0,0.0,0.0,0.0
intraoperative transesophageal echocardiogram evaluation,was indicated. [SEP],0,0.0,0.0,0.0
once a day,,0,0.0,0.0,0.0
160/98   170/88 ,,0,0.0,0.0,0.0
serum cholesterol was 266,,0,0.0,0.0,0.0
your blood pressure,for your blood,0,0.6666666666666666,0.6666666666666666,0.6666666666666666
"a1c had come down from 11.8--&gt;9.9, but up to 10.4 last check",,0,0.0,0.0,0.0
naprosyn,naprosyn prn pain. [SEP],0,1.0,0.25,0.4
hypercholesterolemia,,0,0.0,0.0,0.0
1 mg,,0,0.0,0.0,0.0
vital signs,,0,0.0,0.0,0.0
high pressures,,0,0.0,0.0,0.0
chf,% [SEP],0,0.0,0.0,0.0
40 units,,0,0.0,0.0,0.0
2080-03-13,. xue here today with first visit with me for several issues. [SEP],0,0.0,0.0,0.0
elevated,that was deferred because the patient wanted to wait on that. [SEP],0,0.0,0.0,0.0
cardiac exam,,0,0.0,0.0,0.0
2081-04-27,,0,0.0,0.0,0.0
the electrocardiogram,,0,0.0,0.0,0.0
ansaid,also been taking ansaid 100 milligrams p. o. b. i. d. p. r. n. joint [SEP],0,1.0,0.0625,0.11764705882352941
bilateral le doppler,,0,0.0,0.0,0.0
difficulty with swallowing,,0,0.0,0.0,0.0
exam,,0,0.0,0.0,0.0
dvt proph:,,0,0.0,0.0,0.0
arthritis,,0,0.0,0.0,0.0
further blood pressure control,,0,0.0,0.0,0.0
procardia xl,,0,0.0,0.0,0.0
diagnostic procedures,,0,0.0,0.0,0.0
anxiety.,"sob and "" asthma attack "" and anxiety. responded well to [SEP]",0,1.0,0.1,0.18181818181818182
a mixed mesodermal cancer at the vaginal apex,mesodermal cancer at the vaginal apex who presents for local excision. [SEP],0,0.75,0.5,0.6
6 mg,o. q. h. s. [SEP],0,0.0,0.0,0.0
his symptoms,saturations. [SEP],0,0.0,0.0,0.0
an abbreviated workup,,0,0.0,0.0,0.0
daily.,,0,0.0,0.0,0.0
ace inhibitor,,0,0.0,0.0,0.0
myocardial infarction,,0,0.0,0.0,0.0
eczema,##ids for eczema p. r. n. [SEP],0,1.0,0.14285714285714285,0.25
normal saline,,0,0.0,0.0,0.0
ekg,ventricular hyper,0,0.0,0.0,0.0
ekg,,0,0.0,0.0,0.0
sliding scale,,0,0.0,0.0,0.0
aggressive fluids,,0,0.0,0.0,0.0
diabetes,,0,0.0,0.0,0.0
rigid sigmoidoscopy,,0,0.0,0.0,0.0
hormone replacement therapy,in 2014 ). [SEP],0,0.0,0.0,0.0
right common femoral artery deep venous thrombosis,##coagulation for 6 months for right common femoral artery deep venous thrombosis. [SEP],0,1.0,0.5384615384615384,0.7000000000000001
headaches,". these headaches were not completely relieved by demerol, [SEP]",0,1.0,0.1111111111111111,0.19999999999999998
pain medications.,,0,0.0,0.0,0.0
chest x-ray,,0,0.0,0.0,0.0
20mg,##chlorathiazide ( hctz ) 25mg. instead,0,0.0,0.0,0.0
the patient &apos;s abdominal ct scan,,0,0.0,0.0,0.0
the mrcp,##lbladder. [SEP],0,0.0,0.0,0.0
pain,##rn pain [SEP],0,1.0,0.3333333333333333,0.5
75 mg,,0,0.0,0.0,0.0
head ct,,0,0.0,0.0,0.0
moderate palpation,moderate palpation,1,1.0,1.0,1.0
chest x-ray,,0,0.0,0.0,0.0
1 mg,,0,0.0,0.0,0.0
chest pain;,,0,0.0,0.0,0.0
navelbine,,0,0.0,0.0,0.0
a severe resp acidosis,resp acidosis and bipap was initiated. [SEP],0,0.5,0.2857142857142857,0.36363636363636365
disorientation,"##ientation, the patient was [SEP]",0,0.0,0.0,0.0
dvt in rle,dvt in rle'93 - on coumadin for a couple years and then asa until a couple months ago [SEP],0,0.6666666666666666,0.1111111111111111,0.1904761904761905
hyperlipidemia,,0,0.0,0.0,0.0
7d,,0,0.0,0.0,0.0
lantus,"q. p. m., lipitor 80 [SEP]",0,0.0,0.0,0.0
dvt prophylaxis,"##in for dvt prophylaxis. however, acute drop in [SEP]",0,1.0,0.2222222222222222,0.3636363636363636
secondary cardiac and neurological prophylaxis,,0,0.0,0.0,0.0
100 mg,mg p. o. b. i. d. [SEP],0,0.5,0.14285714285714285,0.22222222222222224
tylenol,. r,0,0.0,0.0,0.0
mi,,0,0.0,0.0,0.0
two plus lower extremity edema,##mities notable for two plus lower extremity edema and the ankles were noted to be in pressure,0,1.0,0.29411764705882354,0.45454545454545453
coumadin,,0,0.0,0.0,0.0
q.p.m.,,0,0.0,0.0,0.0
echo,,0,0.0,0.0,0.0
2076-06-05,,0,0.0,0.0,0.0
duonebs,,0,0.0,0.0,0.0
qam,##ril 20 mg po qam [SEP],0,1.0,0.16666666666666666,0.2857142857142857
